NPM,PM,WS,Id,ProcessName,Priority
27224,11550720,37441536,16660,RuntimeBroker,8
31040,10833920,22827008,1284,lsass,9
31536,6316032,6615040,1792,svchost,8
12160,1695744,9871360,12168,IEMonitor,8
239840,263380992,320983040,11936,explorer,8
9848,1929216,7577600,20716,svchost,8
23200,32624640,65007616,20092,brave,4
12840,2551808,11395072,12688,winlogon,13
13768,3293184,6529024,1672,svchost,8
28240,67772416,109936640,12368,brave,4
15360,3813376,21061632,10164,svchost,8
8496,3067904,5799936,6612,cmd,8
22096,3371008,8069120,9792,svchost,8
8288,1359872,2166784,2752,svchost,8
10576,3035136,3031040,4244,KillerAnalyticsService,8
13552,3092480,13651968,21776,svchost,8
16176,7421952,3891200,2784,svchost,8
25384,37384192,69505024,16164,brave,4
16712,26705920,36065280,21516,ai,8
17776,3969024,9224192,4400,svchost,8
26928,8753152,34615296,17456,Widgets,8
30744,154984448,216227840,15040,brave,4
26888,55721984,70696960,15992,powershell,8
15928,3608576,7081984,3284,svchost,8
15768,8753152,18575360,1120,brave,8
28048,80211968,130240512,13772,brave,4
18352,14925824,11890688,9520,PSSvc,8
22936,9158656,20807680,19464,svchost,8
15224,117288960,13664256,5280,KillerNetworkService,8
30200,41009152,34926592,14596,nvcontainer,8
19312,12828672,38510592,176,Registry,8
8512,3346432,2867200,4256,ACCSvc,8
29112,63676416,7065600,7572,ePowerButton_NB,6
10456,5988352,13172736,6452,conhost,8
7744,1273856,2322432,19304,wlanext,8
20360,13918208,11968512,3780,svchost,8
17056,4198400,6201344,4236,RtkAudUService64,8
21856,3162112,6864896,4164,svchost,8
12472,1785856,3764224,1124,wininit,13
13824,2060288,5623808,2908,svchost,8
9648,1880064,9105408,15540,unsecapp,8
24176,25612288,16195584,9900,svchost,8
8560,1544192,1605632,13644,dasHost,8
66784,132976640,170704896,21340,POWERPNT,8
57392,2445312,4468736,16752,svchost,8
25552,50868224,96628736,7928,brave,4
24880,5812224,15089664,19972,dllhost,8
29536,157597696,206131200,14668,brave,4
18312,23482368,53592064,22436,msedge,8
92464,57696256,62124032,7800,Lively,8
22416,5701632,16883712,4200,svchost,8
19984,16211968,23470080,18624,brave,8
43136,1785856,2195456,6556,svchost,8
25112,56807424,105074688,4600,brave,4
6928,1794048,1024000,1444,fontdrvhost,8
28360,59314176,103886848,9040,brave,4
